Q_ID,Question_Text,Domain,Tier,Intensity,Primary_Bucket,Deck_Eligible,Contraindications,Personas,Situations,Mechanisms,Performance_Tags,Relationship_Tags,Risk_Flags,Biological_Tags,Digital_Tags,Format_Tags,Symptoms,Goals
FB-H-01,"Over the past 14 days, how consistent is your wake time (± minutes), and what is the pattern when it breaks?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.SLEEP,,F.SOLO_JOURNAL,SYM.FATIGUE,G.REGULATION
FB-H-02,What is the earliest time you can realistically be in bed on weekdays without resentment? What blocks it?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,,,,BIO.SLEEP,,F.SOLO_JOURNAL,SYM.RECOVERY_DEFICIT,G.RECOVERY
FB-H-03,What is your caffeine/nicotine signature (timing + dose)? What symptom does it temporarily solve?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.CAFFEINE_NICOTINE,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-H-04,When do you feel your first real drop in energy each day? What are you doing right before it?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.RHYTHMS,,F.SOLO_JOURNAL,SYM.FATIGUE,G.RECOVERY
FB-H-05,"Under pressure, do you hold your breath, go shallow, or speed up? What trigger reliably flips it?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,,,BIO.BREATH_SIGNATURE,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-H-06,Where does stress land first (jaw/chest/gut/neck)? What are you usually thinking in that exact moment?,D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,BIO.TENSION_PATTERNS,,F.SOLO_JOURNAL,SYM.SOMATIC_TENSION,G.AWARENESS
FB-H-07,"Which sensory inputs (noise, lighting, texture, crowds) spike your irritability fastest—and what do you do next?",D.I_HARDWARE,Tier 1,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.SOMATIC_DISREGULATION,,,,BIO.SENSORY_OVERLOAD,,F.SOLO_JOURNAL,SYM.IRRITABILITY,G.REGULATION
FB-H-08,How often do you override hunger/thirst/toilet/rest signals for ‘just one more task’? What does it cost you later?,D.I_HARDWARE,Tier 2,I2.SCAN,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.OVERRIDE_SIGNAL,,,,BIO.INTEROCEPTION,,F.SOLO_JOURNAL,SYM.BURNOUT,G.RECOVERY
FB-H-09,"What is your shutdown tell (zoning out, blank mind, heavy limbs)? How early can you catch it?",D.I_HARDWARE,Tier 2,I3.DEEP,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,,,BIO.DISSOCIATION_TELL,,F.SOLO_JOURNAL,SYM.NUMBNESS,G.REGULATION
FB-H-10,When was the last time your body moved hard enough to change your mood within 20 minutes? What stopped you recently?,D.I_HARDWARE,Tier 2,I3.DEEP,Hardware,TRUE,,P.FOUNDER,S.BURNOUT,M.RECOVERY_AVERSION,,,,BIO.MOVEMENT,,F.SOLO_JOURNAL,SYM.LOW_MOOD,G.RECOVERY
FB-O-01,"Which decision are you deferring because it will create conflict, loss, or identity discomfort?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,PERF.DECISION_FATIGUE,,,,,F.SOLO_JOURNAL,SYM.PROCRASTINATION,G.CLARITY
FB-O-02,"How many open loops are you carrying right now (tasks, messages, promises)? Which 3 are draining 80% of your RAM?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.OVERLOAD,PERF.COG_LOAD,,,,,F.SOLO_JOURNAL,SYM.OVERWHELM,G.FOCUS
FB-O-03,Where do you demand certainty that reality cannot provide—and how do you punish yourself for not having it?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.CONTROL_STRATEGY,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-O-04,What fear are you disguising as logic this week?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.CLARITY
FB-O-05,"Before high-stakes meetings, what does your mind assume others will discover about you?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,PERF.IMPOSTOR_PATTERN,,,,,F.SOLO_JOURNAL,SYM.SHAME,G.CONFIDENCE
FB-O-06,What scenario does your brain replay when idle or waiting—and what emotion is it trying to avoid?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,,,F.SOLO_JOURNAL,SYM.RUMINATION,G.REGULATION
FB-O-07,Which metric controls your mood more than it should—and what does that metric symbolize to you?,D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.IDENTITY_FUSION,PERF.METRICS_OBSESSION,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.MEANING
FB-O-08,"What does your mind do when forced to wait (traffic, loading, delays): rage, scroll, plan, numb out, or rehearse?",D.II_OS,Tier 1,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.DOPAMINE_SEEKING,PERF.FOCUS,,,,,F.SOLO_JOURNAL,SYM.RESTLESSNESS,G.FOCUS
FB-O-09,What standard are you using that no human could meet—yet you treat it as ‘baseline’?,D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.PERFECTIONISM,,,,,,F.SOLO_JOURNAL,SYM.SHAME,G.SELF_COMPASSION
FB-O-10,Where does your work expand because stopping would force you to feel something?,D.II_OS,Tier 2,I2.SCAN,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,PERF.SCOPE_CREEP,,,,,F.SOLO_JOURNAL,SYM.OVERWORK,G.BOUNDARIES
FB-O-11,How many times per hour do you switch contexts? What is the hidden trigger for each switch?,D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.DOPAMINE_SEEKING,PERF.CONTEXT_SWITCH,,,,,F.SOLO_JOURNAL,SYM.FRAGMENTATION,G.FOCUS
FB-O-12,"When you receive unexpected bad news, what is your first internal sentence?",D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-O-13,What is the smallest ‘deep work’ block you can protect daily without negotiation—and what will you delete to fund it?,D.II_OS,Tier 2,I3.DEEP,OS,TRUE,,P.FOUNDER,S.BURNOUT,M.PRIORITY_CONFLICT,PERF.DEEP_WORK,,,,,F.SOLO_JOURNAL,SYM.BUSYWORK,G.FOCUS
FB-S-01,"If your company disappeared tomorrow, what would be the first identity sentence you’d say about yourself?",D.IV_SELF,Tier 1,I2.SCAN,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.IDENTITY_FUSION,,,,,,F.SOLO_JOURNAL,SYM.IDENTITY_CRISIS,G.MEANING
FB-S-02,What criticism hits you deepest—and what does it ‘confirm’ about you?,D.IV_SELF,Tier 1,I2.SCAN,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,,,F.SOLO_JOURNAL,SYM.SHAME,G.SELF_COMPASSION
FB-S-03,What do you believe you must achieve to finally feel ‘enough’?,D.IV_SELF,Tier 1,I2.SCAN,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.IDENTITY_FUSION,,,,,,F.SOLO_JOURNAL,SYM.OVERWORK,G.MEANING
FB-S-04,"What emotion shows up when you cannot control outcomes (grief, anger, fear, shame)?",D.IV_SELF,Tier 1,I2.SCAN,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.CONTROL_STRATEGY,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-S-05,"If you stopped trying to ‘win’ at work, what emotion would you be forced to feel?",D.IV_SELF,Tier 2,I2.SCAN,Self,TRUE,Avoid if client is currently in acute depressive episode.,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,,,,,,F.SOLO_JOURNAL,SYM.NUMBNESS,G.AWARENESS
FB-S-06,"What do you hide behind competence (need, sadness, fear, longing)?",D.IV_SELF,Tier 2,I3.DEEP,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.VULNERABILITY_DEFENSE,,,,,,F.SOLO_JOURNAL,SYM.ISOLATION,G.CONNECTION
FB-S-07,Where are you betraying your own values to keep momentum—and how do you justify it?,D.IV_SELF,Tier 2,I3.DEEP,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.VALUE_CONFLICT,,,,,,F.SOLO_JOURNAL,SYM.MORAL_INJURY,G.INTEGRITY
FB-S-08,What story do you tell yourself to make rest feel ‘unsafe’ or ‘undeserved’?,D.IV_SELF,Tier 2,I3.DEEP,Self,TRUE,,P.FOUNDER,S.BURNOUT,M.COG_DISTORTION,,,,,,F.SOLO_JOURNAL,SYM.GUILT,G.RECOVERY
FB-B-01,What do you call ‘productivity’ that is actually avoidance?,D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,PERF.BUSYWORK,,,,,F.SOLO_JOURNAL,SYM.PROCRASTINATION,G.FOCUS
FB-B-02,What important thing are you ‘almost starting’ all the time?,D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,,,,,,F.SOLO_JOURNAL,SYM.PROCRASTINATION,G.EXECUTION
FB-B-03,"Which recovery input are you under-investing in by 30%+ (sleep, movement, connection)?",D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.RECOVERY_AVERSION,PERF.RECOVERY_DEFICIT,,,,,F.SOLO_JOURNAL,SYM.RECOVERY_DEFICIT,G.RECOVERY
FB-B-04,"What commitment should be downgraded, delegated, or deleted this week?",D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.BOUNDARY_LEAKS,PERF.OVERCOMMIT,,,,,F.SOLO_JOURNAL,SYM.OVERWHELM,G.BOUNDARIES
FB-B-05,"Does spending money make you feel safe, powerful, or guilty—and what belief drives that reaction?",D.VI_OUTPUT,Tier 1,I2.SCAN,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.SCARCITY_SCRIPT,,,,,,F.SOLO_JOURNAL,SYM.ANXIETY,G.REGULATION
FB-B-06,"What are you buying with late-night work (certainty, relief, control, worth)? Did you get it?",D.VI_OUTPUT,Tier 2,I2.SCAN,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.IDENTITY_FUSION,PERF.LATE_NIGHT_GRIND,,,,,F.COACHING_1ON1,SYM.FATIGUE,G.RECOVERY
FB-B-07,"In crisis mode, what do you neglect first: sleep, food, relationships, or honesty? Why?",D.VI_OUTPUT,Tier 2,I3.DEEP,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,,,,,F.COACHING_1ON1,SYM.BURNOUT,G.REGULATION
FB-B-08,What system would remove the most repeated effort from your week if you built it once?,D.VI_OUTPUT,Tier 2,I3.DEEP,Output,TRUE,,P.FOUNDER,S.BURNOUT,M.LEVERAGE_SEEKING,PERF.SYSTEMS,,,,,F.SOLO_JOURNAL,SYM.FRICTION,G.EFFICIENCY
FB-N-01,Where do you feel most alone in your life right now—even when surrounded by people?,D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.ISOLATION_STRATEGY,,REL.LONELY_IN_ROOM,,,,F.SOLO_JOURNAL,SYM.ISOLATION,G.CONNECTION
FB-N-02,What boundary do you set too late (or not at all) because you fear consequences?,D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.BOUNDARY_LEAKS,,REL.BOUNDARY_LEAKS,,,,F.SOLO_JOURNAL,SYM.RESENTMENT,G.BOUNDARIES
FB-N-03,"Do you trust people until they give you a reason not to, or mistrust until proven? What did that strategy cost you?",D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.ATTACHMENT_STRATEGY,,REL.TRUST_DEFAULT,,,,F.SOLO_JOURNAL,SYM.HYPERVIGILANCE,G.CONNECTION
FB-N-04,Who reliably calms your nervous system—and why aren’t they scheduled into your week?,D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.AVOIDANCE_LOOP,,REL.CO_REGULATION,,,,F.SOLO_JOURNAL,SYM.DYSREGULATION,G.REGULATION
FB-N-05,"Under conflict, what is your default move (pursue/withdraw/freeze/fawn/attack), and what is it protecting?",D.V_RELATIONSHIPS,Tier 1,I2.SCAN,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.THREAT_RESPONSE,,REL.CONFLICT_STYLE,,,,F.SOLO_JOURNAL,SYM.CONFLICT_AVOIDANCE,G.REPAIR
FB-N-06,"After a rupture, do you repair quickly or let distance calcify? What story justifies your choice?",D.V_RELATIONSHIPS,Tier 2,I2.SCAN,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.PRIDE_DEFENSE,,REL.REPAIR,,,,F.SOLO_JOURNAL,SYM.ISOLATION,G.REPAIR
FB-N-07,Where are you carrying emotional labor that should be shared—and what prevents you from delegating it?,D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.CONTROL_STRATEGY,,REL.EMOTIONAL_LABOR,,,,F.SOLO_JOURNAL,SYM.OVERWHELM,G.BOUNDARIES
FB-N-08,Which relationship has become purely transactional—and what would it take to make it human again?,D.V_RELATIONSHIPS,Tier 2,I3.DEEP,Network,TRUE,,P.FOUNDER,S.BURNOUT,M.VULNERABILITY_DEFENSE,,REL.TRANSACTIONAL,,,,F.SOLO_JOURNAL,SYM.NUMBNESS,G.CONNECTION
FB-T-01,Name 3 past situations where you were under pressure and still performed well. What did you do that worked?,D.IX_STRENGTHS,Tier 1,I2.SCAN,Toolkit,TRUE,,P.FOUNDER,S.BURNOUT,M.SKILL_TRANSFER,,,,,,F.SOLO_JOURNAL,SYM.HOPELESSNESS,G.AGENCY
FB-T-02,What is one recovery behavior that has reliably worked for you before—and why did you stop doing it?,D.IX_STRENGTHS,Tier 1,I2.SCAN,Toolkit,TRUE,,P.FOUNDER,S.BURNOUT,M.RECOVERY_AVERSION,,,,,,F.SOLO_JOURNAL,SYM.RECOVERY_DEFICIT,G.RECOVERY
FB-T-03,What would it look like to be 10% less heroic and 10% more sustainable this month?,D.IX_STRENGTHS,Tier 1,I2.SCAN,Toolkit,TRUE,,P.FOUNDER,S.BURNOUT,M.IDENTITY_FUSION,,,,,,F.SOLO_JOURNAL,SYM.OVERWORK,G.CONFIDENCE
